FOLDERRSN,PROPERTYID
12022824,5470740
12022824,5470802
12022844,5312743
12022844,5313103
12023784,5426783
12023784,5426959
12023872,137318
12023872,2019511
12024152,2006263
12024657,5424086
12024664,5424095
12025375,5376155
12025375,5376212
12026637,5413837
12026637,5413867
12026646,5418476
12026646,5418623
12026678,5418519
12026678,5418585
12026688,5363350
12026688,5363674
12027026,5330482
12027026,5330518
12027625,5426783
12027625,5426956
12027841,5426783
12027841,5426951
12029199,5413835
12029199,5413878
12031330,2009846
12031330,3372792
12033061,5418529
12033061,5418640
12035751,5410959
12035751,5411017
12035775,2018327
12035775,5561239
12036000,5413837
12036000,5413849
12036659,5410962
12036659,5411023
12037179,5426783
12037179,5426984
12037221,5426783
12037221,5426973
12037230,5426783
12037230,5426981
12037767,2023941
12038605,5470740
12038605,5470805
12038628,5410971
12038628,5411073
12038702,5470737
12038702,5470784
12039143,5410956
12039143,5411109
12039155,5410956
12039155,5411099
12039177,5426783
12039177,5426963
12039201,5426779
12039201,5426805
12039304,5410956
12039304,5411105
12041099,2041995
12041099,5411531
12041185,5410959
12041185,5411015
12041194,5410967
12041194,5411083
12041352,5426783
12041352,5426954
12042053,159948
12042053,2017092
12042337,5426783
12042337,5426957
12042565,5330482
12042565,5330517
12044021,756422
12044021,2012134
12044444,701894
12044444,2033976
12044672,5410949
12044672,5411028
12045434,5404725
12045434,5405109
12045510,5410959
12045510,5411014
12046100,5410956
12046100,5411106
12046253,5426783
12046253,5426961
12046331,5426783
12046331,5426974
12046577,5410967
12046577,5411088
12046876,5410971
12046876,5411078
12047022,5410967
12047022,5411089
12047355,459260
12047355,2019700
12047677,5410967
12047677,5411096
12047724,5410971
12047724,5411075
12047739,5410971
12047739,5411076
12047796,5410967
12047796,5411095
12047917,5410964
12047917,5411080
12048017,5410956
12048017,5411103
12049459,5426783
12049459,5426972
12049580,5410967
12049580,5411084
12049597,5410969
12049597,5416771
12049610,5410967
12049610,5411082
12050443,2021049
12050443,2033613
12050549,2041481
12050576,5426783
12050576,5426952
12050637,3286505
12059389,5097375
12059389,5243392
12060059,5358962
12060059,5359876
12061147,5283147
12061147,5330552
12061476,5330407
12061476,5330568
12062514,5404730
12062514,5404886
12062546,5404730
12062546,5404825
12063091,5312718
12063091,5312827
12063097,5312745
12063097,5313115
12063143,5330437
12063143,5330564
12063177,5312656
12063177,5313050
12063765,571976
12063765,2033304
12063771,5414715
12063771,5414798
12070561,5426783
12070561,5426977
12070759,5426783
12070759,5426971
12070825,5426783
12070825,5426946
12070904,5426783
12070904,5426964
12070920,5426783
12070920,5426965
12071662,2018129
12071706,5363350
12071706,5363725
12072211,2018145
12072339,5283147
12072339,5330551
12073301,2046644
12073507,258088
12073507,2019335
12073725,5312654
12073725,5313043
12074313,246257
12074313,2019651
12074800,5359022
12074800,5359775
12074805,5125349
12074805,5125522
12076754,5414715
12076754,5414797
12076779,5330437
12076779,5330563
12076905,5330437
12076905,5330562
12076939,5283147
12076939,5330555
12077079,5312656
12077079,5313053
12077118,2015913
